Level;800m;1000m;1500m;3000m;5km;10km;15km;HalfMarathon;Marathon;100km
IA;119.84;155.7;246;533;910;1900;3000;4200;8940;29100
IB;121.84;158.5;251;545;930;1960;3045;4320;9120;30300
N1;126;162;261;560;990;2040;3150;4470;9600;31500
N2;130;166;268;575;1020;2100;3240;4620;10080;32400
N3;133;170;275;590;1040;2160;3330;4770;10560;33300
N4;137;174;281;605;1060;2220;3420;4920;11040;34200
IR1;140;178;287;620;1080;2280;3510;5070;11520;35100
IR2;142.5;181;295;640;1100;2340;3600;5190;11880;3600
IR3;145;184;300;650;1120;2400;3690;5310;12240;4500
IR4;148;188;305;660;1140;2460;3780;5430;12720;5400
R1;151;192;310;670;1160;2520;3870;5550;13080;6300
R2;154;196;315;680;1180;2580;3960;5670;13440;3600
R3;157;199;320;690;1200;2640;4050;5790;13800;4500
R4;160;203;325;705;1220;2700;4140;5910;14160;5400
R5;164;209;330;720;1240;2760;4230;6030;14520;6300
R6;166;212;340;735;1260;2820;4320;6150;14880;3600
D1;168;215;350;750;1290;2880;4440;6300;15240;4500
D2;170;218;360;765;1320;2940;4530;6450;15600;6000
D3;173;222;370;780;1365;3000;4620;6600;15960;3900
D4;176;226;380;800;1410;3120;4710;6900;16320;5400
D5;179;230;390;820;1440;3240;4800;7200;16800;6900
D6;183;235;400;850;1500;3360;4980;7500;17400;4800
D7;188;242;410;880;1560;3600;5160;7800;18000;3600
